frames_mean,frames_median,frames_std,frames_min,frames_max,distance_mean,distance_median,distance_std,distance_min,distance_max,fitness_mean,fitness_median,fitness_std,fitness_min,fitness_max,wins_mean,wins_median,wins_std,wins_min,wins_max
192.42222222222222,182.0,42.57411257710952,132.0,468.0,93.67777777777778,40.0,102.50450697709485,40.0,362.0,5533.4277836839665,1e-05,11196.525117063857,1e-05,32709.995862327527,0.0,0.0,0.0,0.0,0.0
206.07865168539325,182.0,70.27493754974279,132.0,470.0,217.93258426966293,296.0,123.67498159731754,40.0,436.0,19264.942679429005,27914.913548486522,14793.594796491529,1e-05,51492.89392051346,0.0,0.0,0.0,0.0,0.0
216.7191011235955,182.0,105.38095565576523,132.0,475.0,299.5280898876405,312.0,111.22818835670891,40.0,595.0,30553.598758429274,31565.35427645576,15967.173931751939,1e-05,91185.83568599919,0.0,0.0,0.0,0.0,0.0
271.6292134831461,308.0,126.75787607313559,132.0,471.0,360.39325842696627,316.0,141.83473671432134,40.0,595.0,42066.906816040566,32530.628385890406,23759.088963396265,1e-05,92035.8201351654,0.0,0.0,0.0,0.0,0.0
350.9325842696629,363.0,118.0708031489703,132.0,797.0,454.46067415730334,436.0,114.74349078791876,40.0,596.0,58967.86847803293,51492.89392051346,24659.15678968354,1e-05,92035.8201351654,0.0,0.0,0.0,0.0,0.0
370.3258426966292,427.0,107.93399723498301,132.0,467.0,490.80898876404495,594.0,143.97533156404745,40.0,682.0,69162.78194471265,91153.85717920377,28245.553149794177,1e-05,120386.91002110227,0.0,0.0,0.0,0.0,0.0
358.9325842696629,427.0,120.5063099427502,132.0,482.0,509.76404494382024,594.0,141.0970677493287,40.0,693.0,74140.46518918218,91185.83568599919,29914.745165799894,1e-05,126749.39472938843,0.0,0.0,0.0,0.0,0.0
386.6629213483146,427.0,115.62773896618413,132.0,713.0,563.6179775280899,595.0,127.21507097647691,40.0,723.0,87265.37880211079,92035.8201351654,29268.29513672623,1e-05,129727.65898382557,0.0,0.0,0.0,0.0,0.0
392.29213483146066,412.0,116.49277377860614,132.0,914.0,591.2808988764045,596.0,154.66360660537046,40.0,1129.0,96678.28755809048,92035.8201351654,43928.292456879935,1e-05,300595.3518635891,0.0,0.0,0.0,0.0,0.0
406.87640449438203,412.0,111.12052574121904,140.0,848.0,635.3595505617977,684.0,126.32677860634472,304.0,1129.0,108137.75170988232,120386.91002110227,39964.37283422479,29855.685676280693,300595.3518635891,0.0,0.0,0.0,0.0,0.0
365.02247191011236,338.0,106.36221529908006,132.0,620.0,630.7303370786517,690.0,162.52928960202237,65.0,1129.0,110085.37527755083,125632.95497425339,49022.717948718135,845.2216350787623,300595.3518635891,0.0,0.0,0.0,0.0,0.0
356.30337078651684,324.0,125.45041587244891,132.0,814.0,622.370786516854,691.0,200.38638979229134,65.0,1246.0,110393.11045697311,125686.36843355032,62083.43508118314,845.2216350787623,357803.20835538,0.0,0.0,0.0,0.0,0.0
389.60674157303373,370.0,140.1610324260312,136.0,801.0,632.123595505618,690.0,201.4130877454646,297.0,1246.0,112352.30914658289,124492.8122083786,65903.05689803588,28085.87265142897,357803.20835538,0.0,0.0,0.0,0.0,0.0
366.2022471910112,366.0,116.1628244865927,132.0,742.0,620.6404494382023,689.0,196.9981034067725,303.0,1437.0,109228.15894660215,125509.7792139918,66920.94991538589,28436.12733608051,464704.6921029578,0.0,0.0,0.0,0.0,0.0
403.5168539325843,372.0,129.115496799175,132.0,766.0,647.7303370786517,691.0,203.42675373667407,300.0,1437.0,116944.57223156825,124552.28487513906,74930.35100479168,28898.045387061105,464750.1274264385,0.0,0.0,0.0,0.0,0.0
438.2808988764045,407.0,178.85905497139203,132.0,965.0,677.1797752808989,691.0,291.90796463214195,40.0,1437.0,133494.82711565617,125792.6885247052,110803.01536020114,1e-05,465677.3475892071,0.0,0.0,0.0,0.0,0.0
384.0561797752809,363.0,164.52207662731902,132.0,1014.0,604.4494382022472,690.0,225.4601791610324,40.0,1437.0,105995.9282009674,123296.35293659181,71765.84020437443,1e-05,465677.3475892071,0.0,0.0,0.0,0.0,0.0
431.82022471910113,402.0,169.5773703498818,132.0,983.0,653.4269662921348,690.0,233.5312161911988,112.0,1437.0,120251.78401120909,123147.2157440421,80846.13710385999,3261.916614345425,465677.3475892071,0.0,0.0,0.0,0.0,0.0
459.685393258427,407.0,173.06922661863788,148.0,954.0,715.685393258427,697.0,295.4909301258553,40.0,1438.0,146182.23632787415,127670.56548960334,115243.30385030217,1e-05,466210.58839778544,0.0,0.0,0.0,0.0,0.0
441.8876404494382,407.0,165.97329135360042,132.0,867.0,656.3370786516854,691.0,288.99539064868287,295.0,1437.0,126373.33864677836,123878.70771562471,105533.75285562646,24927.305399018158,466210.58839778544,0.0,0.0,0.0,0.0,0.0
434.3370786516854,388.0,170.05306137013048,142.0,831.0,655.438202247191,692.0,288.51074230993333,40.0,1437.0,126368.75230684759,125792.6885247052,102942.41489653247,1e-05,466210.58839778544,0.0,0.0,0.0,0.0,0.0
477.3707865168539,427.0,192.98631156106174,148.0,940.0,716.1011235955057,707.0,331.18439294986257,40.0,1437.0,149967.07074945408,128646.30814832877,122491.58065789547,1e-05,466210.58839778544,0.0,0.0,0.0,0.0,0.0
453.30337078651684,412.0,159.48092799182032,138.0,879.0,662.6741573033707,691.0,283.22749720825425,40.0,1440.0,127391.29516099374,125067.16467536986,105364.65493821465,1e-05,466210.58839778544,0.0,0.0,0.0,0.0,0.0
448.35955056179773,401.0,183.2335187916959,132.0,798.0,668.7078651685393,722.0,255.32610574560874,40.0,1435.0,126674.72936953409,127741.2616367219,83595.74968967817,1e-05,466210.58839778544,0.0,0.0,0.0,0.0,0.0
478.70786516853934,463.0,168.19859865594754,146.0,774.0,721.7078651685393,722.0,271.06329134662855,118.0,1435.0,145144.39749343376,134905.71167673144,95000.92810450202,3376.8118399911446,466210.58839778544,0.0,0.0,0.0,0.0,0.0
438.23595505617976,412.0,146.19250218803282,132.0,794.0,649.8876404494382,690.0,240.13537559319838,295.0,1438.0,119598.76608703034,122678.07301176354,82842.60324564985,27744.415873867627,466210.58839778544,0.0,0.0,0.0,0.0,0.0
411.9325842696629,388.0,169.082573920064,134.0,824.0,623.1797752808989,698.0,274.00777327601463,40.0,1435.0,115611.97875969617,127424.52884335902,84492.8625799559,1e-05,466210.58839778544,0.0,0.0,0.0,0.0,0.0
415.87640449438203,377.0,162.90121223879856,134.0,816.0,637.6966292134831,690.0,274.4130571669176,40.0,1435.0,120164.48650171129,125792.6885247052,85376.9358680286,1e-05,466210.58839778544,0.0,0.0,0.0,0.0,0.0
