frames_mean,frames_median,frames_std,frames_min,frames_max,distance_mean,distance_median,distance_std,distance_min,distance_max,fitness_mean,fitness_median,fitness_std,fitness_min,fitness_max,wins_mean,wins_median,wins_std,wins_min,wins_max
189.26666666666668,182.0,38.60247545315082,132.0,426.0,92.42222222222222,40.0,100.45993980773054,40.0,316.0,5385.937040343992,1e-05,11049.282505067711,1e-05,32350.95987560581,0.0,0.0,0.0,0.0,0.0
199.82022471910113,182.0,75.17463739729425,132.0,518.0,221.93258426966293,297.0,115.40809834229343,40.0,427.0,19376.876899185987,28085.87265142897,13960.30175907859,1e-05,45006.81269087855,0.0,0.0,0.0,0.0,0.0
177.13483146067415,148.0,77.58521100406075,132.0,518.0,302.82022471910113,314.0,48.01932237441316,40.0,434.0,29768.145346406898,31922.411523824427,6916.010364374149,1e-05,51464.295408820624,0.0,0.0,0.0,0.0,0.0
169.7865168539326,148.0,78.82186885132836,132.0,515.0,311.3820224719101,316.0,67.1293411322756,40.0,436.0,31892.141927610042,32281.292821896022,8677.60015386573,1e-05,51464.295408820624,0.0,0.0,0.0,0.0,0.0
190.8988764044944,148.0,90.70795772281036,132.0,431.0,299.53932584269666,315.0,117.17921127316778,40.0,676.0,31501.451117839882,32281.292821896022,16890.585426231995,1e-05,120201.8303255643,0.0,0.0,0.0,0.0,0.0
270.24719101123594,346.0,123.52521290184713,132.0,554.0,367.80898876404495,422.0,124.41728233618198,40.0,724.0,42601.66241624587,44543.913564309274,22728.598423931067,1e-05,130669.63412576556,0.0,0.0,0.0,0.0,0.0
333.17977528089887,363.0,95.56415126338472,132.0,527.0,401.6741573033708,434.0,127.02302501010132,40.0,724.0,48311.63251142982,51349.508792819666,23463.278292550975,1e-05,130669.63412576556,0.0,0.0,0.0,0.0,0.0
343.6292134831461,363.0,87.84912782112269,134.0,512.0,434.75280898876406,434.0,106.60799566308614,40.0,724.0,54340.434816049965,51464.295408820624,25179.27162772748,1e-05,130669.63412576556,0.0,0.0,0.0,0.0,0.0
317.87640449438203,363.0,116.20650160935844,134.0,683.0,400.5280898876405,434.0,147.07837014247607,40.0,726.0,49552.387559576775,50677.44830122148,29771.14341885371,1e-05,130669.63412576556,0.0,0.0,0.0,0.0,0.0
306.35955056179773,363.0,113.92844661502505,134.0,526.0,399.30337078651684,434.0,131.91786723754657,40.0,724.0,48675.7350046933,51001.40909308118,25900.993095915604,1e-05,130669.63412576556,0.0,0.0,0.0,0.0,0.0
345.561797752809,364.0,104.73068243814272,136.0,527.0,451.59550561797755,435.0,140.72498632990994,40.0,724.0,59995.730328626974,51406.9805072225,31905.23087810825,1e-05,130669.63412576556,0.0,0.0,0.0,0.0,0.0
343.6741573033708,363.0,112.36565264329124,134.0,669.0,471.9325842696629,435.0,171.86255272208956,40.0,1129.0,66938.74894231228,51406.9805072225,45037.87775203673,1e-05,301640.6828923998,0.0,0.0,0.0,0.0,0.0
352.4269662921348,364.0,120.6093040218677,132.0,726.0,538.7752808988764,436.0,212.59323151407068,40.0,1152.0,87201.43410602478,51492.89392051346,61812.82330301061,1e-05,314177.2322050691,0.0,0.0,0.0,0.0,0.0
386.19101123595505,384.0,130.57959614900818,134.0,706.0,632.0786516853933,675.0,239.89970866678175,295.0,1152.0,115705.65732094774,121284.98851835376,81174.81860809684,28266.08552565705,314177.2322050691,0.0,0.0,0.0,0.0,0.0
409.438202247191,414.0,133.99337188505868,134.0,787.0,707.0112359550562,694.0,297.3102074001414,40.0,1152.0,145440.50530177186,126926.52737686435,103263.56377187687,1e-05,314177.2322050691,0.0,0.0,0.0,0.0,0.0
438.30337078651684,508.0,130.5924619273,134.0,765.0,824.8539325842696,724.0,336.50448852748093,40.0,1434.0,192089.27600068724,131771.44475579934,121709.86510276455,1e-05,465879.03684042534,0.0,0.0,0.0,0.0,0.0
478.14606741573033,535.0,93.38690216390485,158.0,762.0,883.7640449438202,1124.0,308.24195306379414,301.0,1673.0,210593.2831735221,299754.42352806526,121591.20873168731,29448.717978484183,615762.5403643469,0.0,0.0,0.0,0.0,0.0
475.82022471910113,535.0,116.58575103231838,132.0,798.0,897.123595505618,1125.0,335.38040853934234,300.0,1673.0,219365.2154176496,299824.45922342024,133397.05032638228,29275.916261209197,615762.5403643469,0.0,0.0,0.0,0.0,0.0
484.86516853932585,535.0,123.0223503043646,134.0,902.0,943.3033707865169,1127.0,315.698740071955,313.0,1958.0,235981.91718245047,300642.7589052537,133268.6647161502,31923.019520226964,817314.4628141832,0.0,0.0,0.0,0.0,0.0
475.6629213483146,517.0,130.2818848652797,132.0,902.0,889.2022471910112,898.0,317.7934167431528,312.0,1958.0,213703.7114041841,193388.08427612975,135267.9639169517,31849.287446737995,817314.4628141832,0.0,0.0,0.0,0.0,0.0
470.92134831460675,510.0,123.33094463191314,148.0,902.0,880.561797752809,723.0,327.7089334416171,46.0,1958.0,211729.29648768742,135022.05585615162,135166.60427203687,1e-05,817314.4628141832,0.0,0.0,0.0,0.0,0.0
507.4943820224719,535.0,119.88506889400043,136.0,902.0,985.9662921348314,1128.0,317.48323673125304,314.0,1958.0,253965.7663173056,301848.10091269045,142034.26389693006,32136.890317394777,817314.4628141832,0.0,0.0,0.0,0.0,0.0
494.65168539325845,530.0,126.92810502593213,134.0,902.0,901.9213483146067,899.0,353.958869721274,313.0,1958.0,222872.6436477651,195496.98770202463,149657.98721691142,31743.654748435652,817314.4628141832,0.0,0.0,0.0,0.0,0.0
