frames_mean,frames_median,frames_std,frames_min,frames_max,distance_mean,distance_median,distance_std,distance_min,distance_max,fitness_mean,fitness_median,fitness_std,fitness_min,fitness_max,wins_mean,wins_median,wins_std,wins_min,wins_max
209.7888888888889,182.0,83.05306127804273,134.0,552.0,102.9,40.0,130.9247493791758,40.0,594.0,7271.196272341044,1e-05,16983.5430896409,1e-05,89341.91729125903,0.0,0.0,0.0,0.0,0.0
280.8426966292135,204.0,126.01595216269153,132.0,542.0,237.01123595505618,292.0,166.8505012320723,40.0,677.0,22707.03091158648,23610.47276084879,23544.92027250963,1e-05,120754.48797805066,0.0,0.0,0.0,0.0,0.0
334.7415730337079,349.0,145.9919597670594,132.0,827.0,383.0,378.0,157.39565832140025,40.0,723.0,45840.88471654066,35975.486571804155,31106.143955296735,1e-05,128358.80916484793,0.0,0.0,0.0,0.0,0.0
395.7303370786517,427.0,130.04819884751146,134.0,707.0,469.0,434.0,157.57395267555407,40.0,898.0,63728.875175561996,49739.9793126145,37078.404908559016,1e-05,191419.16659454457,0.0,0.0,0.0,0.0,0.0
396.4719101123595,384.0,161.90301507263507,136.0,897.0,480.87640449438203,435.0,198.75651753710326,40.0,900.0,69562.9455380138,50766.25914094221,47688.77687735943,1e-05,192625.00603140282,0.0,0.0,0.0,0.0,0.0
462.17977528089887,484.0,173.0466301901722,134.0,1096.0,556.9775280898876,561.0,197.51364495763693,40.0,899.0,87554.90516230956,78758.64590923622,49288.034496674,1e-05,192931.65192811532,0.0,0.0,0.0,0.0,0.0
466.07865168539325,477.0,184.5969325903807,132.0,915.0,572.876404494382,670.0,216.1412781952613,40.0,899.0,93572.82904655716,113346.80911627288,53722.801675095885,1e-05,192931.65192811532,0.0,0.0,0.0,0.0,0.0
519.3033707865169,510.0,217.97558901025624,134.0,1364.0,633.1123595505618,703.0,255.895363016866,91.0,1937.0,112830.08571853738,124444.35316350435,91479.98244208463,1570.0066451963226,777845.2225910531,0.0,0.0,0.0,0.0,0.0
576.0786516853933,506.0,222.25399098900698,172.0,1364.0,690.4269662921348,706.0,335.8439608127443,40.0,1943.0,138153.10292514312,125222.03487145032,137717.0439603364,1e-05,783007.811393616,0.0,0.0,0.0,0.0,0.0
606.943820224719,662.0,210.07592846453718,152.0,1354.0,727.9550561797753,722.0,291.8465777533551,73.0,1943.0,145038.51611889375,126101.94251354688,106011.96175253791,947.9358532922215,783007.811393616,0.0,0.0,0.0,0.0,0.0
589.9550561797753,649.0,200.23839219887407,142.0,1354.0,719.5730337078652,722.0,282.9036397524405,44.0,1943.0,141787.34096176823,126905.24391576165,100996.57317606955,1e-05,783007.811393616,0.0,0.0,0.0,0.0,0.0
537.9550561797753,478.0,229.31122613053907,142.0,1354.0,678.2134831460675,705.0,329.34458140578363,73.0,1949.0,134688.52741677428,125028.70075415258,130950.99335941505,947.9358532922215,790037.5795554452,0.0,0.0,0.0,0.0,0.0
586.685393258427,508.0,197.8897431925172,190.0,1310.0,732.3258426966293,708.0,289.3589107316301,73.0,1949.0,146745.7963803207,125937.00170447909,113256.71062413068,947.9358532922215,790037.5795554452,0.0,0.0,0.0,0.0,0.0
597.6629213483146,514.0,220.12064842065283,142.0,1310.0,750.2359550561798,709.0,287.8749347078982,295.0,1949.0,152299.69904088206,126667.35662472356,115631.07270705365,27660.845914293423,790037.5795554452,0.0,0.0,0.0,0.0,0.0
619.8089887640449,566.0,205.66608020871018,186.0,1364.0,784.3595505617977,722.0,298.2420872940401,295.0,1949.0,164922.43185002744,125988.05608295917,133036.27292995318,27660.845914293423,790037.5795554452,0.0,0.0,0.0,0.0,0.0
637.9101123595506,665.0,245.62374809467684,192.0,1474.0,816.2022471910112,722.0,362.3724938024588,73.0,1949.0,184043.1665633317,126349.05059112493,156113.31812600183,877.4279846957465,790037.5795554452,0.0,0.0,0.0,0.0,0.0
606.4719101123595,568.0,200.62918390821739,186.0,1310.0,773.6516853932584,705.0,289.0424369574959,110.0,1949.0,160616.92147062227,125921.58188037474,116730.70910278434,2789.5900147747225,790037.5795554452,0.0,0.0,0.0,0.0,0.0
601.0898876404494,597.0,185.77082900438418,182.0,1310.0,750.3932584269663,706.0,264.4652275513072,40.0,1949.0,149922.64917468524,125491.47773011462,106225.23679670702,1e-05,790037.5795554452,0.0,0.0,0.0,0.0,0.0
633.3595505617977,647.0,222.08370965512086,190.0,1310.0,828.9887640449438,723.0,334.8024570803084,110.0,1949.0,185380.0208056954,126690.30932934438,144870.597407157,2789.5900147747225,790037.5795554452,0.0,0.0,0.0,0.0,0.0
609.314606741573,631.0,229.3420778292714,192.0,1545.0,801.685393258427,722.0,321.896368120417,282.0,2130.0,174410.80750978403,126629.87162872596,140433.91065103855,24967.382701414685,921449.319700351,0.0,0.0,0.0,0.0,0.0
591.3595505617977,575.0,220.1471544213052,178.0,1545.0,748.8539325842696,709.0,316.1606600036965,91.0,2130.0,155207.4654641034,126071.32265988435,131044.40351444403,1570.0066451963226,921449.319700351,0.0,0.0,0.0,0.0,0.0
600.8202247191011,616.0,221.7949534789138,176.0,1545.0,808.2247191011236,722.0,316.76350490650185,297.0,2130.0,176437.16327611086,126667.35662472356,140017.03003601107,28085.87265142897,921449.319700351,0.0,0.0,0.0,0.0,0.0
620.2022471910112,641.0,196.25872512059524,192.0,1545.0,826.8089887640449,723.0,284.36224233013485,295.0,2130.0,179566.62170232463,127814.37797372925,125899.8559665498,27660.845914293423,921449.319700351,0.0,0.0,0.0,0.0,0.0
